pair_id,term,value_kjmol,se_kjmol
A1,Total,2.3907588424255395,0.13328432677609414
A1,VDW,2.8111722308370144,0.09357341317373243
A1,Coulomb,-0.4204126868030314,0.04312834975795508
A3,Total,5.75726877483298,0.2593535373960287
A3,VDW,2.9822205181814185,0.2055130243192946
A3,Coulomb,2.7750502569505255,0.09172656555262239
A4,Total,4.318093440257259,0.12714526403378748
A4,VDW,-0.3805805935202234,0.13872025762679419
A4,Coulomb,4.698673680040655,0.05105382661083151
B1,Total,2.1329010010586873,0.09242046108095583
B1,VDW,2.8126496870360955,0.053776110888965244
B1,Coulomb,-0.6797493504747066,0.08218569067388225
