intervention,target,T/K,p/bar,effect_measure,related_groups,median_absolute_hoa_difference,bootstrap_95_low_absolute_hoa_difference,bootstrap_95_high_absolute_hoa_difference,spearman_rho_heat_vs_adsorption_separation,bootstrap_95_low_rho,bootstrap_95_high_rho
functional_motif_change,landfill_CH4,338.0,0.01,absolute_log_difference,6,0.06084149999999999,0.013826499999999964,0.12135949999999984,,,
functional_motif_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,6,0.06084149999999999,0.013826499999999964,0.12135949999999984,,,
functional_motif_change,landfill_CH4,338.0,4.4,absolute_log_difference,6,0.08439799999999975,0.0476255000000001,0.24165850000000022,,,
functional_motif_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,6,0.08439799999999975,0.0476255000000001,0.24165850000000022,,,
functional_motif_change,landfill_CO2,338.0,0.26,absolute_log_difference,6,0.14723550000000007,0.02933700000000017,0.48886700000000016,,,
functional_motif_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,6,0.14723550000000007,0.02933700000000017,0.48886700000000016,,,
functional_motif_change,landfill_CO2,338.0,3.2,absolute_log_difference,6,0.6971610000000001,0.32950749999999984,1.3335305000000002,,,
functional_motif_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,6,0.6971610000000001,0.32950749999999984,1.3335305000000002,,,
functional_motif_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,6,0.12306749999999989,0.011865000000000014,0.17740650000000002,,,
functional_motif_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,6,0.12306749999999989,0.011865000000000014,0.17740650000000002,,,
functional_motif_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,6,0.210248,0.10676799999999975,0.4146329999999998,,,
functional_motif_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,6,0.210248,0.10676799999999975,0.4146329999999998,,,
functional_motif_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,6,0.22662600000000044,0.188828,0.2741194999999996,,,
functional_motif_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,6,0.22662600000000044,0.188828,0.2741194999999996,,,
functional_motif_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,6,0.3173089999999996,0.1709409999999998,1.5810475000000002,,,
functional_motif_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,6,0.3173089999999996,0.1709409999999998,1.5810475000000002,,,
functional_motif_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,6,0.0554110000000001,0.009519499999999903,0.16441149999999993,,,
functional_motif_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,6,0.0554110000000001,0.009519499999999903,0.16441149999999993,,,
functional_motif_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,6,0.019618499999999983,0.014174499999999979,0.15163499999999974,,,
functional_motif_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,6,0.019618499999999983,0.014174499999999979,0.15163499999999974,,,
functional_motif_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,6,0.24130100000000043,0.0783870000000002,0.695654,,,
functional_motif_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,6,0.24130100000000043,0.0783870000000002,0.695654,,,
functional_motif_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,6,0.4350229999999997,0.03995850000000045,0.8965744999999998,,,
functional_motif_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,6,0.4350229999999997,0.03995850000000045,0.8965744999999998,,,
functional_motif_change,post_combustion_N2,298.0,0.075,absolute_log_difference,6,0.10648999999999997,0.004484499999999891,0.3081705000000001,,,
functional_motif_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,6,0.10648999999999997,0.004484499999999891,0.3081705000000001,,,
functional_motif_change,post_combustion_N2,298.0,0.75,absolute_log_difference,6,0.09111750000000018,0.03186600000000006,0.1545350000000001,,,
functional_motif_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,6,0.09111750000000018,0.03186600000000006,0.1545350000000001,,,
functional_motif_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,6,0.30248300000000006,0.10077999999999987,0.6171470000000001,,,
functional_motif_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,6,0.30248300000000006,0.10077999999999987,0.6171470000000001,,,
functional_motif_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,6,0.3140099999999997,0.06906049999999953,1.3298435,,,
functional_motif_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,6,0.3140099999999997,0.06906049999999953,1.3298435,,,
functional_motif_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,6,0.027448999999999946,0.017475500000000033,0.04464700000000005,,,
functional_motif_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,6,0.027448999999999946,0.017475500000000033,0.04464700000000005,,,
functional_motif_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,6,0.5041599999999999,0.180508,0.6856744999999999,,,
functional_motif_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,6,0.5041599999999999,0.180508,0.6856744999999999,,,
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,3494,0.11584850000000002,0.1107132875000002,0.12040349999999989,0.3181597543205737,0.28565406003235105,0.3505078220136042
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,3494,0.11584850000000002,0.11084300000000002,0.12067799999999984,0.37108974448595355,0.3397436690173577,0.4010984416245956
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,3494,0.22801525,0.21924149999999987,0.24029849999999997,0.2939744667254948,0.2626924668776961,0.324710592067962
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,3494,0.22801525,0.21883700000000017,0.23983299999999996,0.2652679616638734,0.2331000205277584,0.2961006507577062
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,3494,0.29551399999999983,0.28327650000000015,0.306562,0.3654272359172521,0.3352792679585157,0.394958040378245
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,3494,0.29551399999999983,0.28366049999999965,0.306562,0.2657728425990187,0.23421704250971004,0.2971947575710402
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,3494,0.4362425000000001,0.41470000000000007,0.4544017499999998,0.060792396637602525,0.02647657295071493,0.094238586631756
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,3494,0.4362425000000001,0.41484699999999997,0.4544017499999998,0.19029374775949917,0.1571836959361323,0.22286799573778285
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,3494,0.1557210000000001,0.14928274999999996,0.16277633749999987,0.3014495790866167,0.26977873979804573,0.3329250260127425
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,3494,0.1557210000000001,0.14923399999999987,0.1626709999999998,0.46079536879128025,0.43342802029299937,0.4879902923497365
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,3494,0.26417749999999995,0.25103676249999973,0.27778824999999996,0.2083699301561137,0.17539042460748053,0.24013155096906838
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,3494,0.26417749999999995,0.25112199999999985,0.2774049999999999,0.16782869110901927,0.13472946232118355,0.20006054080328492
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,3494,0.36070900000000017,0.3484965,0.37433950000000005,0.2990148392463366,0.267095675008267,0.33045953777333625
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,3494,0.36070900000000017,0.3483189999999998,0.3744737499999997,0.3559353152872528,0.32478136761192344,0.38656245056004995
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,3494,0.5627070000000001,0.5366480000000001,0.5834047500000001,0.06444270020595876,0.03122530826579423,0.0973515779256803
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,3494,0.5627070000000001,0.536721,0.5832135000000003,0.22462957021574764,0.1929799998679594,0.2565055200289502
