intervention,target,T/K,p/bar,effect_measure,related_groups,median_absolute_hoa_difference,bootstrap_95_low_absolute_hoa_difference,bootstrap_95_high_absolute_hoa_difference,spearman_rho_heat_vs_adsorption_separation,bootstrap_95_low_rho,bootstrap_95_high_rho,y
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,3494,0.1158485,0.1107132875000002,0.1204034999999998,0.3181597543205737,0.285654060032351,0.3505078220136042,0
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,3494,0.22801525,0.2192414999999998,0.2402984999999999,0.2939744667254948,0.2626924668776961,0.324710592067962,1
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,3494,0.2955139999999998,0.2832765000000001,0.306562,0.3654272359172521,0.3352792679585157,0.394958040378245,2
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,3494,0.4362425000000001,0.4147,0.4544017499999998,0.0607923966376025,0.0264765729507149,0.094238586631756,3
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,3494,0.1557210000000001,0.1492827499999999,0.1627763374999998,0.3014495790866167,0.2697787397980457,0.3329250260127425,4
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,3494,0.2641774999999999,0.2510367624999997,0.2777882499999999,0.2083699301561137,0.1753904246074805,0.2401315509690683,5
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,3494,0.3607090000000001,0.3484965,0.3743395,0.2990148392463366,0.267095675008267,0.3304595377733362,6
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,3494,0.5627070000000001,0.5366480000000001,0.5834047500000001,0.0644427002059587,0.0312253082657942,0.0973515779256803,7
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,3494,0.1040034999999999,0.1002507500000001,0.1084809999999998,0.3507051431394345,0.3193369904441208,0.3818757463765269,8
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,3494,0.1068780000000001,0.1023445,0.111599,0.1978856850022601,0.1644315330080953,0.2310257670153601,9
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,3494,0.3337015000000001,0.3201740000000006,0.3477097625000001,0.5214950893776962,0.4947049187569317,0.5473883973312704,10
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,3494,0.3368329999999999,0.3233705000000002,0.3494781625000002,0.313616468961408,0.2816065366865186,0.3447136577511889,11
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,3494,0.079573,0.076092225,0.0828546874999999,0.2442882581034194,0.2110051546926616,0.2769136458371926,12
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,3494,0.089255,0.086314,0.0923586875,0.2369244571466889,0.2034361547373891,0.2696328674814499,13
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,3494,0.301421,0.2919837499999999,0.3122514999999999,0.2055675992295464,0.1705374172713167,0.2384440498216225,14
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,3491,0.4695180000000007,0.4504390000000002,0.4849369999999999,0.0386566572421901,0.0054992198250731,0.0723836423857736,15
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,3494,0.030088,0.0290570000000001,0.0312185,0.2257570753475363,0.1926800151892571,0.2586689601324687,16
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,3491,0.1932589999999998,0.1843370000000002,0.2012155000000001,0.155860920822338,0.1221181201510171,0.1891046870185301,17
metal_substitution,landfill_CH4,338.0,0.01,absolute_log_difference,453,0.0771920000000001,0.0677465000000001,0.0857730000000001,0.2341641610787596,0.1392853486190982,0.3251345062680663,0
metal_substitution,landfill_CH4,338.0,4.4,absolute_log_difference,453,0.30295,0.2612199999999998,0.3351049999999995,0.1891314411144396,0.0973750453054617,0.2769490485059322,1
metal_substitution,landfill_CO2,338.0,0.26,absolute_log_difference,453,0.2790819999999998,0.249784,0.3086869999999999,0.3440028285950408,0.2509491413778226,0.4323418757741462,2
metal_substitution,landfill_CO2,338.0,3.2,absolute_log_difference,453,0.5005819999999996,0.4543169999999996,0.5437500000000002,0.0108710890271631,-0.0791081872130139,0.1019516654249766,3
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_log_difference,453,0.116241,0.1039560000000001,0.1294629999999998,0.2458397888519379,0.1565406321661527,0.329935342739374,4
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_log_difference,453,0.3411550000000001,0.2873459999999999,0.3791550000000003,0.1586718925278464,0.0637649526990012,0.2505904330646134,5
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_log_difference,453,0.4359619999999999,0.3980350000000001,0.4653320000000001,0.2721523578983404,0.1826331852973975,0.361707466613434,6
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_log_difference,453,0.7570390000000007,0.6448020000000003,0.8546580000000001,-0.043624546607661,-0.1299334033223075,0.0439206879211677,7
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_log_difference,453,0.070119,0.0625889999999995,0.0784694999999999,0.0251834941689109,-0.0648159197082462,0.1149117905058546,8
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_log_difference,453,0.1036770000000002,0.0922480000000001,0.1228340000000001,0.0608200860196509,-0.0333113067348576,0.1563318642311144,9
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_log_difference,453,0.3268120000000003,0.2862039999999997,0.361167,0.5104923423198972,0.4273372405594445,0.5863239105365975,10
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_log_difference,453,0.32261,0.3000950000000006,0.3642219999999998,0.320309472462894,0.2262540677212937,0.409593899231577,11
metal_substitution,post_combustion_N2,298.0,0.075,absolute_log_difference,453,0.0836700000000001,0.0752609999999997,0.0933670000000002,0.4510731285794727,0.3618920871916972,0.5327664165135302,12
metal_substitution,post_combustion_N2,298.0,0.75,absolute_log_difference,453,0.098519,0.088999,0.1155369999999997,0.4509542377419158,0.3593426355753109,0.5340315529538279,13
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_log_difference,453,0.3143045,0.272729,0.3413210000000006,0.2584757807358633,0.1650624453996762,0.3476099333973975,14
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_log_difference,452,0.5365205,0.4822180000000005,0.6318485,-0.2344284835654694,-0.317308733816422,-0.1483624409527484,15
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_log_difference,453,0.0263379999999999,0.0236959999999999,0.0293139999999998,0.2016693254668305,0.1025957754213516,0.2947973405270739,16
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_log_difference,452,0.17391475,0.1520650000000001,0.193008,0.2389107641136349,0.1481823157765088,0.3267951753929713,17
