intervention,target,T/K,p/bar,effect_measure,related_groups,median_absolute_hoa_difference,bootstrap_95_low_absolute_hoa_difference,bootstrap_95_high_absolute_hoa_difference,spearman_rho_heat_vs_adsorption_separation,bootstrap_95_low_rho,bootstrap_95_high_rho,y
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,3494,0.1158485,0.110843,0.1206779999999998,0.3710897444859535,0.3397436690173577,0.4010984416245956,0
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,3494,0.22801525,0.2188370000000001,0.2398329999999999,0.2652679616638734,0.2331000205277584,0.2961006507577062,1
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,3494,0.2955139999999998,0.2836604999999996,0.306562,0.2657728425990187,0.23421704250971,0.2971947575710402,2
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,3494,0.4362425000000001,0.4148469999999999,0.4544017499999998,0.1902937477594991,0.1571836959361323,0.2228679957377828,3
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,3494,0.1557210000000001,0.1492339999999998,0.1626709999999998,0.4607953687912802,0.4334280202929993,0.4879902923497365,4
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,3494,0.2641774999999999,0.2511219999999998,0.2774049999999999,0.1678286911090192,0.1347294623211835,0.2000605408032849,5
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,3494,0.3607090000000001,0.3483189999999998,0.3744737499999997,0.3559353152872528,0.3247813676119234,0.3865624505600499,6
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,3494,0.5627070000000001,0.536721,0.5832135000000003,0.2246295702157476,0.1929799998679594,0.2565055200289502,7
linker_family_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,3494,0.1040034999999999,0.10029365,0.1082819999999997,0.4075954901510643,0.376569282724598,0.4379175133606371,8
linker_family_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,3494,0.1068780000000001,0.1028019999999996,0.1115757499999998,-0.0557440767380192,-0.0895847274671682,-0.0221052493362124,9
linker_family_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,3494,0.3337015000000001,0.3196989999999999,0.3479930000000006,0.3377083075108594,0.3082987387509161,0.3681054768736462,10
linker_family_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,3494,0.3368329999999999,0.3235172500000003,0.349196,0.2861442140643546,0.2546310708602337,0.3167689955632397,11
linker_family_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,3494,0.079573,0.0760925,0.0828619999999999,0.2339709094545719,0.2001844658813184,0.2675240308725874,12
linker_family_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,3494,0.089255,0.0862819999999999,0.09216925,0.2078313577574882,0.1744356779559826,0.2410810349534218,13
linker_family_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,3494,0.301421,0.2919387499999998,0.3125920000000004,0.2448197646926483,0.2118486926059307,0.2765227509050317,14
linker_family_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,3491,0.4695180000000007,0.450176775,0.4854609999999999,-0.1085972852956858,-0.1413154915299044,-0.0760143372580922,15
linker_family_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,3494,0.030088,0.0290580000000001,0.031222,-0.0093378827130869,-0.0420996427920578,0.0251225606336009,16
linker_family_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,3491,0.1932589999999998,0.1843370000000002,0.2012155000000001,-0.1345092181338675,-0.1680612185782773,-0.1016086772396264,17
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,453,0.0771920000000001,0.067879,0.0857730000000001,0.2064605394026284,0.1126604227878716,0.2973721611900113,0
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,453,0.30295,0.2612199999999998,0.3351049999999995,0.1672001478841949,0.0755681197803644,0.2570902282230754,1
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,453,0.2790819999999998,0.249784,0.3073853749999993,0.2382031502328375,0.1472499623125241,0.3243012158813004,2
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,453,0.5005819999999996,0.4543169999999996,0.5437500000000002,0.0346258914553761,-0.0586658556660708,0.127753078972501,3
