"repository_path","size_bytes","sha256","inclusion_reason"
".gitignore","67","e76576a3632ba5f7df6dad5805af494d34cd10afd09578d66725f24d5c920560","Repository-level documentation or ignore policy"
"data/case_chemistry/03_atom_charge_rows.csv","192294","d393f6d651fd6b47e4179c59cbe4679ec6c89e2b088875c2db4f950df37f4559","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_charge_mapping_audit.csv","8323","ea15383ebb5a9ca8e38f710bd02f3dac3e3642ff2181707228f6833f8520171b","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_element_charge_summaries.csv","7193","bf2aec21e549c049002c18f289d66097d437e8345589e948a913f51820526f95","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_framework_charge_summaries.csv","1828","afa633a1c11b4843171e96b82c3d994495e5df9514ee018f17c5dd8d35e45935","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_manifest.json","970","e0ef43f1bdefa0a7db58fc6fad34b17240240e342932c75e07b1db7e989c692f","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_pair_charge_contrasts.csv","1885","11bf86f7feff98aaf9cc5001d50f70e52c0b16a2a793acf73ef85040a513d980","Verified small processed data/metadata asset or data documentation"
"data/case_chemistry/03_report.txt","448","5b3e759074d6996ff31818fa2218872dde029d771647e0ee3908cfaf359cd9b6","Verified small processed data/metadata asset or data documentation"
"data/case_selection/01_framework_reuse_audit.csv","1959","3e298620de002df5d014d9a2672c50d24866706e652860b376c26b6abf0516b7","Verified small processed data/metadata asset or data documentation"
"data/case_selection/01_manifest.json","1545","f7bdc4461ef23d2adc155a84aa2fad0e0fe6e55a478f01f61f2dfb94e352f598","Verified small processed data/metadata asset or data documentation"
"data/case_selection/01_recommended_review_set.csv","3721","55ac058d91c45e6abe22d6945cda647dbb96c0caf7b941f9a6d21acb8d3f80ef","Verified small processed data/metadata asset or data documentation"
"data/case_selection/01_report.txt","1738","1998c42537271f6784cb55639d6de8b4c8e17d3004407a4314b8469b204619de","Verified small processed data/metadata asset or data documentation"
"data/case_selection/01_role_candidates.csv","8530","69887cf214850c662eb3c8b2bbc942801882315cf4100d563554dd702593c53b","Verified small processed data/metadata asset or data documentation"
"data/case_selection/02_final_case_frameworks.csv","1928","9bd7fc9adbf6e5e3fcf733c9031739e400b0d79c9469015ec561afb04174ffc7","Verified small processed data/metadata asset or data documentation"
"data/case_selection/02_final_case_set.csv","4622","5e8cc002b767848321067febeb857823c615118533d0c17830e5e43c02dac24b","Verified small processed data/metadata asset or data documentation"
"data/case_selection/02_manifest.json","1389","97d0fb7ccb1375e2f20a217707db415acc1a2dd9dca68a711e1814d98decd3ff","Verified small processed data/metadata asset or data documentation"
"data/case_selection/02_report.txt","1337","f6b2b40e5ed353c1b1d7ed3665ee7db19cd3119e1e9c4490590c1aff1fd5bca4","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/04_figure_index.csv","1036","51aef0a41fd81ea84779910b4950d8e977cee5e9acbb8ba7b204f4ec2adfece3","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/04_manifest.json","862","139da19ffd4622753d337ab83410b3d3822ef38dcb908bcda4c76370b7ecf1f2","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/04_missing_optional_sources.csv","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/04_report.txt","765","9991aa18fe60dd161f0bd90bcf1317d43e4299ec936e3ee2f63678d5570c5d61","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/04_source_registry.csv","12142","b8ca3e1540a407b345366416bb30d29639353d1e67fa69cf264e32c209bc488d","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/Figure_01/04_caliper_sensitivity_support.csv","1262","579036090055629cec1ca08301baadc6403e17ebea101192f7abd8eb395ae609","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/Figure_01/04_corrected_effect_run_summary.csv","458","19c540a9dbaba4b38033843744b5a913cf65a4d226ba3a787e0c4caf4f8a7351","Verified small processed data/metadata asset or data documentation"
"data/figure_source_data/Figure_01/04_final_primary_pair_counts.csv","194","c13dd2b7d65956e77190d771e21950d13cbd2fa0a0c42cacb089b34a3dbc775f","Verified small processed data/metadata asset or data documentation"
